round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1287,7
Hereford / Bristol I,outdoor,imperial,compound,compound,,1287,7
Bristol II,outdoor,imperial,recurve,non-compound,,1296,7
Bristol II,outdoor,imperial,compound,compound,,1296,7
Bristol III,outdoor,imperial,recurve,non-compound,,1296,7
Bristol III,outdoor,imperial,compound,compound,,1296,7
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,7
Bristol IV,outdoor,imperial,compound,compound,,1296,7
Bristol V,outdoor,imperial,recurve,non-compound,,1296,7
Bristol V,outdoor,imperial,compound,compound,,1296,7
St George,outdoor,imperial,recurve,non-compound,,953,7
St George,outdoor,imperial,compound,compound,,953,7
Albion,outdoor,imperial,recurve,non-compound,,968,7
Albion,outdoor,imperial,compound,compound,,968,7
Windsor,outdoor,imperial,recurve,non-compound,,972,7
Windsor,outdoor,imperial,compound,compound,,972,7
Windsor 50,outdoor,imperial,recurve,non-compound,,972,7
Windsor 50,outdoor,imperial,compound,compound,,972,7
Windsor 40,outdoor,imperial,recurve,non-compound,,972,7
Windsor 40,outdoor,imperial,compound,compound,,972,7
Windsor 30,outdoor,imperial,recurve,non-compound,,972,7
Windsor 30,outdoor,imperial,compound,compound,,972,7
New Western,outdoor,imperial,recurve,non-compound,,838,7
New Western,outdoor,imperial,compound,compound,,838,7
Long Western,outdoor,imperial,recurve,non-compound,,858,7
Long Western,outdoor,imperial,compound,compound,,858,7
Western,outdoor,imperial,recurve,non-compound,,864,7
Western,outdoor,imperial,compound,compound,,864,7
Western 50,outdoor,imperial,recurve,non-compound,,864,7
Western 50,outdoor,imperial,compound,compound,,864,7
Western 40,outdoor,imperial,recurve,non-compound,,864,7
Western 40,outdoor,imperial,compound,compound,,864,7
Western 30,outdoor,imperial,recurve,non-compound,,864,7
Western 30,outdoor,imperial,compound,compound,,864,7
American,outdoor,imperial,recurve,non-compound,,810,7
American,outdoor,imperial,compound,compound,,810,7
St Nicholas,outdoor,imperial,recurve,non-compound,,756,7
St Nicholas,outdoor,imperial,compound,compound,,756,7
New National,outdoor,imperial,recurve,non-compound,,625,7
New National,outdoor,imperial,compound,compound,,625,7
Long National,outdoor,imperial,recurve,non-compound,,642,7
Long National,outdoor,imperial,compound,compound,,642,7
National,outdoor,imperial,recurve,non-compound,,648,7
National,outdoor,imperial,compound,compound,,648,7
National 50,outdoor,imperial,recurve,non-compound,,648,7
National 50,outdoor,imperial,compound,compound,,648,7
National 40,outdoor,imperial,recurve,non-compound,,648,7
National 40,outdoor,imperial,compound,compound,,648,7
National 30,outdoor,imperial,recurve,non-compound,,648,7
National 30,outdoor,imperial,compound,compound,,648,7
New Warwick,outdoor,imperial,recurve,non-compound,,419,7
New Warwick,outdoor,imperial,compound,compound,,419,7
Long Warwick,outdoor,imperial,recurve,non-compound,,429,7
Long Warwick,outdoor,imperial,compound,compound,,429,7
Warwick,outdoor,imperial,recurve,non-compound,,432,7
Warwick,outdoor,imperial,compound,compound,,432,7
Warwick 50,outdoor,imperial,recurve,non-compound,,432,7
Warwick 50,outdoor,imperial,compound,compound,,432,7
Warwick 40,outdoor,imperial,recurve,non-compound,,432,7
Warwick 40,outdoor,imperial,compound,compound,,432,7
York,outdoor,imperial,recurve,non-compound,,1255,8
York,outdoor,imperial,compound,compound,,1255,8
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1285,8
Hereford / Bristol I,outdoor,imperial,compound,compound,,1285,8
Bristol II,outdoor,imperial,recurve,non-compound,,1296,8
Bristol II,outdoor,imperial,compound,compound,,1296,8
Bristol III,outdoor,imperial,recurve,non-compound,,1296,8
Bristol III,outdoor,imperial,compound,compound,,1296,8
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,8
Bristol IV,outdoor,imperial,compound,compound,,1296,8
Bristol V,outdoor,imperial,recurve,non-compound,,1296,8
Bristol V,outdoor,imperial,compound,compound,,1296,8
St George,outdoor,imperial,recurve,non-compound,,950,8
St George,outdoor,imperial,compound,compound,,950,8
Albion,outdoor,imperial,recurve,non-compound,,967,8
Albion,outdoor,imperial,compound,compound,,967,8
Windsor,outdoor,imperial,recurve,non-compound,,972,8
Windsor,outdoor,imperial,compound,compound,,972,8
